----------------------header--------------------------%newline0, 2016/12/6 11:38:15, QQMGBWebserver, [5808]now thread count is =2
1, 2016/12/6 11:38:16, QQMGBWebserver, [5808]now thread count is =2
2, 2016/12/6 11:38:17, QQMGBWebserver, [5808]now thread count is =2
3, 2016/12/6 11:38:18, QQMGBWebserver, [5808]now thread count is =2
4, 2016/12/6 11:38:19, QQMGBWebserver, [5808]now thread count is =2
5, 2016/12/6 11:38:20, QQMGBWebserver, [5808]now thread count is =2
6, 2016/12/6 11:38:21, QQMGBWebserver, [5808]now thread count is =2
7, 2016/12/6 11:38:22, QQMGBWebserver, [5808]now thread count is =2
8, 2016/12/6 11:38:23, QQMGBWebserver, [5808]now thread count is =2
9, 2016/12/6 11:38:24, QQMGBWebserver, [5808]now thread count is =2
10, 2016/12/6 11:38:25, QQMGBWebserver, [5808]now thread count is =2
11, 2016/12/6 11:38:26, QQMGBWebserver, [5808]now thread count is =2
12, 2016/12/6 11:38:27, QQMGBWebserver, [5808]now thread count is =2
13, 2016/12/6 11:38:28, QQMGBWebserver, [5808]now thread count is =2
14, 2016/12/6 11:38:29, QQMGBWebserver, [5808]now thread count is =2
15, 2016/12/6 11:38:30, QQMGBWebserver, [5808]now thread count is =2
16, 2016/12/6 11:38:31, QQMGBWebserver, [5808]now thread count is =2
17, 2016/12/6 11:38:32, QQMGBWebserver, [5808]now thread count is =2
18, 2016/12/6 11:38:33, QQMGBWebserver, [5808]now thread count is =2
19, 2016/12/6 11:38:34, QQMGBWebserver, [5808]now thread count is =2
20, 2016/12/6 11:38:35, QQMGBWebserver, [5808]now thread count is =2
21, 2016/12/6 11:38:36, QQMGBWebserver, [5808]now thread count is =2
22, 2016/12/6 11:38:37, QQMGBWebserver, [5808]now thread count is =2
23, 2016/12/6 11:38:38, QQMGBWebserver, [5808]now thread count is =2
24, 2016/12/6 11:38:39, QQMGBWebserver, [5808]now thread count is =2
25, 2016/12/6 11:38:40, QQMGBWebserver, [5808]now thread count is =2
26, 2016/12/6 11:38:41, QQMGBWebserver, [5808]now thread count is =2
27, 2016/12/6 11:38:42, QQMGBWebserver, [5808]now thread count is =2
28, 2016/12/6 11:38:43, QQMGBWebserver, [5808]now thread count is =2
29, 2016/12/6 11:38:44, QQMGBWebserver, [5808]now thread count is =2
30, 2016/12/6 11:38:45, QQMGBWebserver, [5808]now thread count is =2
31, 2016/12/6 11:38:46, QQMGBWebserver, [5808]now thread count is =2
32, 2016/12/6 11:38:47, QQMGBWebserver, [5808]now thread count is =2
33, 2016/12/6 11:38:48, QQMGBWebserver, [5808]now thread count is =2
34, 2016/12/6 11:38:49, QQMGBWebserver, [5808]now thread count is =2
35, 2016/12/6 11:38:50, QQMGBWebserver, [5808]now thread count is =2
36, 2016/12/6 11:38:51, QQMGBWebserver, [5808]now thread count is =2
37, 2016/12/6 11:38:52, QQMGBWebserver, [5808]now thread count is =2
38, 2016/12/6 11:38:53, QQMGBWebserver, [5808]now thread count is =2
39, 2016/12/6 11:38:54, QQMGBWebserver, [5808]now thread count is =2
40, 2016/12/6 11:38:55, QQMGBWebserver, [5808]now thread count is =2
41, 2016/12/6 11:38:56, QQMGBWebserver, [5808]now thread count is =2
42, 2016/12/6 11:38:57, QQMGBWebserver, [5808]now thread count is =2
43, 2016/12/6 11:38:58, QQMGBWebserver, [5808]now thread count is =2
44, 2016/12/6 11:38:59, QQMGBWebserver, [5808]now thread count is =2
45, 2016/12/6 11:39:00, QQMGBWebserver, [5808]now thread count is =2
46, 2016/12/6 11:39:01, QQMGBWebserver, [5808]now thread count is =2
47, 2016/12/6 11:39:02, QQMGBWebserver, [5808]now thread count is =2
48, 2016/12/6 11:39:03, QQMGBWebserver, [5808]now thread count is =2
----------------------header--------------------------\r0, 2016/12/6 11:39:08, QQMGBWebserver, [5808]now thread count is =2
1, 2016/12/6 11:39:09, QQMGBWebserver, [5808]now thread count is =2
2, 2016/12/6 11:39:10, QQMGBWebserver, [5808]now thread count is =2
3, 2016/12/6 11:39:11, QQMGBWebserver, [5808]now thread count is =2
4, 2016/12/6 11:39:12, QQMGBWebserver, [5808]now thread count is =2
5, 2016/12/6 11:39:13, QQMGBWebserver, [5808]now thread count is =2
6, 2016/12/6 11:39:14, QQMGBWebserver, [5808]now thread count is =2
7, 2016/12/6 11:39:15, QQMGBWebserver, [5808]now thread count is =2
8, 2016/12/6 11:39:16, QQMGBWebserver, [5808]now thread count is =2
9, 2016/12/6 11:39:17, QQMGBWebserver, [5808]now thread count is =2
10, 2016/12/6 11:39:18, QQMGBWebserver, [5808]now thread count is =2
11, 2016/12/6 11:39:19, QQMGBWebserver, [5808]now thread count is =2
12, 2016/12/6 11:39:20, QQMGBWebserver, [5808]now thread count is =2
13, 2016/12/6 11:39:21, QQMGBWebserver, [5808]now thread count is =2
14, 2016/12/6 11:39:22, QQMGBWebserver, [5808]now thread count is =2
15, 2016/12/6 11:39:23, QQMGBWebserver, [5808]now thread count is =2
16, 2016/12/6 11:39:24, QQMGBWebserver, [5808]now thread count is =2
17, 2016/12/6 11:39:25, QQMGBWebserver, [5808]now thread count is =2
18, 2016/12/6 11:39:26, devenv, [7264]Entering Microsoft.TeamFoundation.ProcessTools.TemplateEditor.EditorFactory CreateEditorInstace()
19, 2016/12/6 11:39:26, QQMGBWebserver, [5808]now thread count is =2
20, 2016/12/6 11:39:27, QQMGBWebserver, [5808]now thread count is =2
21, 2016/12/6 11:39:28, QQMGBWebserver, [5808]now thread count is =2
22, 2016/12/6 11:39:29, QQMGBWebserver, [5808]now thread count is =2
23, 2016/12/6 11:39:30, QQMGBWebserver, [5808]now thread count is =2
24, 2016/12/6 11:39:31, QQMGBWebserver, [5808]now thread count is =2
25, 2016/12/6 11:39:32, QQMGBWebserver, [5808]now thread count is =2
26, 2016/12/6 11:39:33, QQMGBWebserver, [5808]now thread count is =2
27, 2016/12/6 11:39:34, QQMGBWebserver, [5808]now thread count is =2
28, 2016/12/6 11:39:35, QQMGBWebserver, [5808]now thread count is =2
29, 2016/12/6 11:39:36, QQMGBWebserver, [5808]now thread count is =2
30, 2016/12/6 11:39:37, QQMGBWebserver, [5808]now thread count is =2
31, 2016/12/6 11:39:38, QQMGBWebserver, [5808]now thread count is =2
32, 2016/12/6 11:39:39, QQMGBWebserver, [5808]now thread count is =2
33, 2016/12/6 11:39:40, QQMGBWebserver, [5808]now thread count is =2
34, 2016/12/6 11:39:41, QQMGBWebserver, [5808]now thread count is =2
35, 2016/12/6 11:39:42, QQMGBWebserver, [5808]now thread count is =2
36, 2016/12/6 11:39:43, QQMGBWebserver, [5808]now thread count is =2
37, 2016/12/6 11:39:44, QQMGBWebserver, [5808]now thread count is =2
38, 2016/12/6 11:39:45, QQMGBWebserver, [5808]now thread count is =2
39, 2016/12/6 11:39:46, QQMGBWebserver, [5808]now thread count is =2
40, 2016/12/6 11:39:47, QQMGBWebserver, [5808]now thread count is =2
41, 2016/12/6 11:39:48, QQMGBWebserver, [5808]now thread count is =2
42, 2016/12/6 11:39:49, QQMGBWebserver, [5808]now thread count is =2
43, 2016/12/6 11:39:50, QQMGBWebserver, [5808]now thread count is =2
44, 2016/12/6 11:39:51, QQMGBWebserver, [5808]now thread count is =2
